Datetime,Tweet Id,Username,Text,Hashtag,Language
2022-11-26 18:15:28+00:00,1596568336166526978,DiomFels,@vonderleyen @ZelenskyyUa @EU_Commission what's about your phone call with @AlbertBourla? Time to go home,,en
2022-11-26 18:15:27+00:00,1596568329673928704,Bruno1958,@vonderleyen @ZelenskyyUa @EU_Commission Lady Pfizer check this out. https://t.co/MBDFMW2hI9,,en
2022-11-26 18:15:20+00:00,1596568299495907329,dicostanzo_j,"@vonderleyen @ZelenskyyUa @UA_EUMission Fact, people are starving, and usurper Von jezebel will not engage in peace talks to help the starving people you can see her agenda as clear as day now",,en
2022-11-26 18:14:58+00:00,1596568209322565632,ostap_kozak,@ufjejfhd @IngridaSimonyte @ZelenskyyUa who would have thought even 9 months ago that EU membership negotiations could start already in 2023 ? Anything is possible.,,en
2022-11-26 18:14:54+00:00,1596568191912022016,handymanjoe,"@vonderleyen @ZelenskyyUa @UA_EUMission Ban Wagner, classify Wagner as a terrorist group, seize all their assets and freeze all their funds,
Increase sanctions against Russia, Belarus, Serbia, Syria, Iran and North Korea to the max, work with partners to make this happen. Time for action.",,en
2022-11-26 18:14:51+00:00,1596568181337952257,vincenzosciarr3,@MFA_Ukraine @ZelenskyyUa I wish you the best. I am so sorry you have to suffer so much. No other solution you can envision?,,en
2022-11-26 18:14:50+00:00,1596568174102990848,miele_rodriguez,@vonderleyen @ZelenskyyUa @UA_EUMission Screw Zelensky. Hes a liar &amp; a crook.,,en
2022-11-26 18:14:48+00:00,1596568166905581568,BJ_Vorster_,@vonderleyen @ZelenskyyUa @EU_Commission It's shocking to see European elites suddenly care  about the Holodomor. A year ago the Holocaust was the only man made disaster they cared about.,,en
2022-11-26 18:14:47+00:00,1596568162161524736,RitaMar93112090,"@dbtibet @alexanderdecroo @ZelenskyyUa @BelgiumMFA @BelgiumEU @hadjalahbib @BelgiumUkraine @MFA_Ukraine @Ukraine @Denys_Shmyhal @BelgiumUN @MorawieckiM Why shouldn’t we recognize this ?
Sralinism was bad for Ukraine and also to many Russians",,en
2022-11-26 18:14:24+00:00,1596568068008071168,RAWONE420,@DefenceU @ZelenskyyUa You Nazis will perish! The world fought AGAINST the Nazis during WW2 &amp; will watch your ivory towers crumble. Believe that. Z is a cowardly puppet. https://t.co/5dL0dCdD14,,en
2022-11-26 18:14:06+00:00,1596567989750562816,Landerbrau1969,@vonderleyen @ZelenskyyUa @EU_Commission Can you just GO AWAY?,,en
2022-11-26 18:13:59+00:00,1596567961384488965,Ormus3,"@alexanderdecroo @ZelenskyyUa @BelgiumMFA @BelgiumEU @hadjalahbib @BelgiumUkraine @MFA_Ukraine @Ukraine @Denys_Shmyhal @BelgiumUN @MorawieckiM Belgium have a History of Killing and maiming Africans,no wonder they are friends with the Nazis.",,en
